party1_id,party2_id,trade_type,trade_date,notional_amount,currency
E029,E004,Equity,2024-01-15,12500000,USD
E007,E014,Bond,2023-11-20,5000000,EUR
E031,E006,Derivative,2023-09-01,8800000,USD
E026,E007,Equity,2024-02-28,2500000,USD
E015,E008,Derivative,2023-12-05,3200000,AED
E021,E009,Equity,2024-03-10,1500000,JPY
E006,E014,Bond,2023-08-15,12000000,USD
E030,E017,Bond,2023-10-01,4000000,GBP
E024,E004,Equity,2024-01-22,950000,SGD
E028,E015,Equity,2023-07-19,2100000,USD
E029,E037,Derivative,2023-05-30,6700000,USD
E007,E003,Bond,2024-01-05,1800000,EUR
E031,E004,Derivative,2023-03-12,4500000,USD
E014,E006,Equity,2023-11-11,3000000,USD
E025,E005,Equity,2024-02-01,750000,INR
E034,E001,Bond,2023-06-06,5600000,JPY
E022,E012,Derivative,2023-12-18,1900000,SGD
